name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,platform_group,Rating_sem,total_sales
MONSTER JAM URBAN ASSAULT,DS,2008,Racing,0.36,0.0,0.0,0.03,,,E,Nintendo,Everyone,0.39
KENGO MASTER OF BUSHIDO,PS2,2000,Fighting,0.16,0.13,0.06,0.04,62.0,84.0,M,PlayStation,Mature,0.39
BLOOD OMEN 2,PS2,2002,Action,0.19,0.15,0.0,0.05,67.0,88.0,M,PlayStation,Mature,0.38999999999999996
MONOPOLY STREETS,PS3,2010,Misc,0.16,0.17,0.0,0.06,64.0,61.0,E,PlayStation,Everyone,0.39
SUPER FIRE PROWRESTLING,SNES,1991,Fighting,0.0,0.0,0.39,0.0,,,,Nintendo,Pending,0.39
CABELA'S DANGEROUS HUNTS 2,PS2,2005,Sports,0.19,0.15,0.0,0.05,,56.0,T,PlayStation,Teens,0.38999999999999996
CONDEMNED 2 BLOODSHOT,PS3,2008,Action,0.17,0.16,0.0,0.06,82.0,81.0,M,PlayStation,Mature,0.39
DISNEY PRINCESS ENCHANTING STORYBOOKS,Wii,2011,Misc,0.25,0.1,0.0,0.03,,,E,Nintendo,Everyone,0.38
CHESSMASTER,PS2,2003,Misc,0.19,0.15,0.0,0.05,79.0,73.0,E,PlayStation,Everyone,0.38999999999999996
FATAL FURY,SNES,1992,Fighting,0.0,0.0,0.39,0.0,,,,Nintendo,Pending,0.39
FROM TV ANIMATION ONE PIECE YUME NO LUFY KAIZOKUDAN TANJOU!,GB,2001,Role-Playing,0.0,0.0,0.39,0.0,,,,Nintendo,Pending,0.39
THE DARKNESS II,X360,2012,Shooter,0.24,0.11,0.0,0.03,80.0,75.0,M,Xbox,Mature,0.38
ICE AGE 2 THE MELTDOWN,PS2,2006,Platform,0.19,0.15,0.0,0.05,68.0,80.0,E10+,PlayStation,Everyone 10y+,0.38999999999999996
THE SIMS 2,GBA,2005,Simulation,0.28,0.1,0.0,0.01,58.0,75.0,E10+,Nintendo,Everyone 10y+,0.39
HITMAN BLOOD MONEY,X360,2006,Action,0.29,0.06,0.01,0.03,82.0,87.0,M,Xbox,Mature,0.39
SUPER FAMISTA 3,SNES,1994,Sports,0.0,0.0,0.39,0.0,,,,Nintendo,Pending,0.39
ADVANCE WARS DUAL STRIKE,DS,2005,Strategy,0.3,0.02,0.04,0.03,90.0,90.0,E,Nintendo,Everyone,0.39
AUTO MODELLISTA,PS2,2002,Racing,0.19,0.15,0.0,0.05,66.0,75.0,E,PlayStation,Everyone,0.38999999999999996
WIPEOUT 3 THE GAME,Wii,2012,Action,0.36,0.0,0.0,0.03,,,,Nintendo,Pending,0.39
MLB 15 THE SHOW,PS3,2015,Sports,0.31,0.01,0.0,0.07,,82.0,E,PlayStation,Everyone,0.39
TOM CLANCY'S GHOST RECON 2 SUMMIT STRIKE,XB,2005,Shooter,0.29,0.08,0.0,0.01,84.0,72.0,T,Xbox,Teens,0.38
TIGER WOODS PGA TOUR 08,PS2,2007,Sports,0.19,0.15,0.0,0.05,65.0,,E,PlayStation,Everyone,0.38999999999999996
F1 2016 (CODEMASTERS),PS4,2016,Racing,0.03,0.29,0.01,0.05,,,,PlayStation,Pending,0.37999999999999995
JUST DANCE 2015,PS4,2014,Misc,0.19,0.13,0.0,0.07,72.0,58.0,E10+,PlayStation,Everyone 10y+,0.39
SAMURAI WARRIORS CHRONICLES,3DS,2011,Action,0.12,0.05,0.2,0.01,61.0,77.0,T,Nintendo,Teens,0.38
KARAOKE REVOLUTION PRESENTS AMERICAN IDOL ENCORE,PS2,2008,Misc,0.19,0.15,0.0,0.05,76.0,,E,PlayStation,Everyone,0.38999999999999996
AIRLOCK,2600,1981,Action,0.36,0.02,0.0,0.0,,,,Other,Pending,0.38
TOKIMEKI MEMORIAL 2,PS,1999,Simulation,0.0,0.0,0.36,0.03,,,,PlayStation,Pending,0.39
HOOKED! AGAIN REAL MOTION FISHING,Wii,2009,Sports,0.36,0.0,0.0,0.03,,,,Nintendo,Pending,0.39
SPONGEBOB VS THE BIG ONE BEACH PARTY COOK OFF,DS,2009,Adventure,0.24,0.11,0.0,0.04,,,E,Nintendo,Everyone,0.38999999999999996
ONE PIECE UNLIMITED WORLD RED,3DS,2013,Action,0.05,0.04,0.28,0.01,75.0,76.0,T,Nintendo,Teens,0.38
EA SPORTS ACTIVE 2,X360,2010,Sports,0.18,0.16,0.0,0.04,68.0,54.0,E,Xbox,Everyone,0.37999999999999995
MOTOGP 08,PS3,2008,Racing,0.07,0.24,0.0,0.08,65.0,60.0,E,PlayStation,Everyone,0.39
RED FACTION ARMAGEDDON,X360,2011,Shooter,0.18,0.16,0.01,0.04,71.0,70.0,M,Xbox,Mature,0.38999999999999996
HARRY POTTER QUIDDITCH WORLD CUP,GBA,2003,Sports,0.28,0.1,0.0,0.01,53.0,83.0,E,Nintendo,Everyone,0.39
DUNGEON SIEGE III,PS3,2011,Role-Playing,0.17,0.13,0.03,0.05,71.0,63.0,T,PlayStation,Teens,0.38000000000000006
EVIL DEAD FISTFULL OF BOOMSTICK,PS2,2003,Action,0.19,0.15,0.0,0.05,,,,PlayStation,Pending,0.38999999999999996
TRIPLE PLAY 97,PS,1996,Sports,0.21,0.15,0.0,0.03,,,,PlayStation,Pending,0.39
SONIC & ALL-STARS RACING TRANSFORMED,PSV,2012,Racing,0.09,0.2,0.0,0.09,,,,PlayStation,Pending,0.38
SUPER SOCCER,SNES,1991,Sports,0.0,0.0,0.38,0.0,,,,Nintendo,Pending,0.38
SHIN MEGAMI TENSEI NOCTURNE,PS2,2003,Role-Playing,0.07,0.05,0.25,0.02,82.0,87.0,M,PlayStation,Mature,0.39
WARIO LAND II (GBC),GB,1998,Platform,0.0,0.0,0.38,0.0,,,,Nintendo,Pending,0.38
SAN FRANCISCO RUSH EXTREME RACING,PS,1997,Racing,0.21,0.15,0.0,0.03,,,,PlayStation,Pending,0.39
BAKUSOU DEKOTORA DENSETSU OTOKO IPPIKI YUME KAIDOI,PS,1998,Racing,0.0,0.0,0.36,0.03,,,,PlayStation,Pending,0.39
FARMING SIMULATOR 2013,X360,2013,Simulation,0.22,0.13,0.0,0.04,33.0,62.0,E,Xbox,Everyone,0.38999999999999996
ESPN COLLEGE HOOPS 2K5,XB,2004,Sports,0.29,0.08,0.0,0.01,86.0,83.0,E,Xbox,Everyone,0.38
LOONEY TUNES ACME ARSENAL,PS2,2007,Action,0.19,0.15,0.0,0.05,38.0,39.0,E10+,PlayStation,Everyone 10y+,0.38999999999999996
SD GUNDAM G GENERATION SPIRITS,PS2,2007,Strategy,0.0,0.0,0.38,0.0,,,,PlayStation,Pending,0.38
DANCE PARTY POP HITS,Wii,2009,Misc,0.0,0.36,0.0,0.02,,,,Nintendo,Pending,0.38
MARVEL ULTIMATE ALLIANCE,PS3,2006,Role-Playing,0.33,0.02,0.0,0.03,78.0,76.0,T,PlayStation,Teens,0.38
THE CAT IN THE HAT,GBA,2005,Platform,0.27,0.1,0.0,0.01,,,,Nintendo,Pending,0.38
DINER DASH SIZZLE & SERVE,DS,2007,Puzzle,0.33,0.02,0.0,0.03,,,,Nintendo,Pending,0.38
SHIN MEGAMI TENSEI DEVIL SURVIVOR OVERCLOCKED,3DS,2011,Role-Playing,0.28,0.01,0.06,0.03,78.0,82.0,T,Nintendo,Teens,0.38
NFL GAMEDAY 2002,PS2,2001,Sports,0.19,0.15,0.0,0.05,51.0,46.0,E,PlayStation,Everyone,0.38999999999999996
NARUTO CLASH OF NINJA REVOLUTION 2,Wii,2008,Fighting,0.34,0.02,0.0,0.03,72.0,84.0,T,Nintendo,Teens,0.39
TUROK EVOLUTION,GC,2002,Shooter,0.3,0.08,0.0,0.01,70.0,70.0,M,Nintendo,Mature,0.39
NCAA FOOTBALL 08,PS3,2007,Sports,0.35,0.0,0.0,0.03,77.0,79.0,E,PlayStation,Everyone,0.38
JAM SESSIONS SING AND PLAY GUITAR (US SALES),DS,2007,Misc,0.38,0.0,0.0,0.0,,,,Nintendo,Pending,0.38
MOBILE SUIT GUNDAM GIREN NO YABOU ZEON DOKURITSU SENSOUDEN,PS2,2002,Strategy,0.0,0.0,0.38,0.0,,,,PlayStation,Pending,0.38
ICE AGE,GBA,2002,Action,0.27,0.1,0.0,0.01,47.0,,E,Nintendo,Everyone,0.38
SEGA SUPERSTARS TENNIS,PS2,2008,Sports,0.1,0.0,0.0,0.28,70.0,83.0,E10+,PlayStation,Everyone 10y+,0.38
HEADHUNTER,PS2,2002,Action,0.19,0.15,0.0,0.05,74.0,78.0,M,PlayStation,Mature,0.38999999999999996
FIFA 14,Wii,2013,Sports,0.0,0.36,0.0,0.02,,43.0,E,Nintendo,Everyone,0.38
YOSHI TOUCH & GO,DS,2005,Platform,0.34,0.02,0.0,0.03,,,,Nintendo,Pending,0.39
VIKING BATTLE FOR ASGARD,PS3,2008,Action,0.14,0.17,0.0,0.07,65.0,74.0,M,PlayStation,Mature,0.38000000000000006
ROCK BAND 4,PS4,2015,Misc,0.26,0.05,0.0,0.07,78.0,63.0,T,PlayStation,Teens,0.38
SHIN MEGAMI TENSEI DEVIL SUMMONER,SAT,1995,Role-Playing,0.0,0.0,0.38,0.0,,,,Other,Pending,0.38
JUNIOR CLASSIC GAMES,DS,2009,Misc,0.26,0.09,0.0,0.03,,,E,Nintendo,Everyone,0.38
MARVEL NEMESIS RISE OF THE IMPERFECTS,GC,2005,Fighting,0.3,0.08,0.0,0.01,54.0,57.0,T,Nintendo,Teens,0.39
ESPN EXTREME GAMES,PS,1994,Sports,0.11,0.08,0.17,0.03,,,,PlayStation,Pending,0.39
BRUNSWICK PRO BOWLING,Wii,2007,Sports,0.35,0.01,0.0,0.03,52.0,54.0,E,Nintendo,Everyone,0.39
NINJA SHADOW OF DARKNESS,PS,1998,Action,0.21,0.14,0.0,0.02,,,,PlayStation,Pending,0.37
WOLFENSTEIN THE NEW ORDER,X360,2014,Shooter,0.18,0.17,0.0,0.03,,74.0,M,Xbox,Mature,0.38
SD GUNDAM G GENERATION-F,PS,2000,Strategy,0.0,0.0,0.36,0.02,,,,PlayStation,Pending,0.38
BRATZ ROCK ANGELZ,PS2,2005,Misc,0.19,0.15,0.0,0.05,60.0,51.0,E,PlayStation,Everyone,0.38999999999999996
FLATOUT,PS2,2004,Racing,0.19,0.15,0.0,0.05,70.0,85.0,T,PlayStation,Teens,0.38999999999999996
PHOENIX WRIGHT ACE ATTORNEY - DUAL DESTINIES,3DS,2013,Adventure,0.0,0.0,0.38,0.0,,,,Nintendo,Pending,0.38
BATTLEFIELD 1,PC,2016,Shooter,0.11,0.24,0.0,0.03,88.0,76.0,M,PC,Mature,0.38
SSX 3,GC,2003,Sports,0.29,0.08,0.0,0.01,92.0,87.0,E,Nintendo,Everyone,0.38
METAL GEAR SOLID SNAKE EATER 3D,3DS,2012,Action,0.15,0.11,0.1,0.02,78.0,78.0,M,Nintendo,Mature,0.38
RAVING RABBIDS TRAVEL IN TIME 3D,3DS,2011,Platform,0.11,0.23,0.0,0.04,,,,Nintendo,Pending,0.38
NCAA FOOTBALL 11,PS2,2010,Sports,0.19,0.15,0.0,0.05,,,E,PlayStation,Everyone,0.38999999999999996
LILO & STITCH 2 HÄMSTERVIEL HAVOC,GBA,2004,Action,0.27,0.1,0.0,0.01,,,,Nintendo,Pending,0.38
LOCOROCO,PSP,2006,Platform,0.14,0.04,0.16,0.03,83.0,87.0,E,PlayStation,Everyone,0.37
RISK GLOBAL DOMINATION,PS2,2003,Strategy,0.19,0.15,0.0,0.05,60.0,88.0,T,PlayStation,Teens,0.38999999999999996
DEUS EX MANKIND DIVIDED,PS4,2016,Role-Playing,0.11,0.21,0.0,0.06,84.0,76.0,M,PlayStation,Mature,0.38
MOBILE SUIT GUNDAM VERSION 20,PS,1996,Action,0.0,0.0,0.36,0.02,,,,PlayStation,Pending,0.38
FIFA 17,X360,2016,Sports,0.07,0.28,0.0,0.03,,17.0,E,Xbox,Everyone,0.38
GRANDIA XTREME,PS2,2002,Role-Playing,0.07,0.05,0.25,0.02,68.0,65.0,T,PlayStation,Teens,0.39
TAMAGOTCHI CONNECTION CORNER SHOP 3,DS,2007,Simulation,0.06,0.0,0.31,0.01,57.0,,E,Nintendo,Everyone,0.38
SILENT SCOPE,PS2,2000,Shooter,0.19,0.15,0.0,0.05,63.0,,M,PlayStation,Mature,0.38999999999999996
FINAL FANTASY ADVENTURE,GB,1991,Role-Playing,0.0,0.0,0.38,0.0,,,,Nintendo,Pending,0.38
DORA THE EXPLORER DORA SAVES THE SNOW PRINCESS,PS2,2008,Platform,0.19,0.15,0.0,0.05,,,E,PlayStation,Everyone,0.38999999999999996
THE INCREDIBLE HULK,PS2,2008,Action,0.32,0.01,0.0,0.05,50.0,60.0,T,PlayStation,Teens,0.38
MERCENARIES 2 WORLD IN FLAMES,PS2,2008,Shooter,0.21,0.0,0.0,0.17,49.0,74.0,T,PlayStation,Teens,0.38
SAINTS ROW THE THIRD,PC,2011,Action,0.16,0.16,0.0,0.06,84.0,81.0,M,PC,Mature,0.38
GHOST TRICK PHANTOM DETECTIVE,DS,2010,Adventure,0.17,0.07,0.12,0.02,83.0,90.0,T,Nintendo,Teens,0.38
TOKIMEKI MEMORIAL FOREVER WITH YOU,SAT,1996,Simulation,0.0,0.0,0.38,0.0,,,,Other,Pending,0.38
MEDIEVIL II,PS,1999,Action,0.21,0.14,0.0,0.02,,,,PlayStation,Pending,0.37
HUNTER THE RECKONING,XB,2002,Action,0.28,0.08,0.0,0.01,79.0,89.0,M,Xbox,Mature,0.37000000000000005
MX VS ATV UNTAMED,PS2,2007,Racing,0.32,0.01,0.0,0.05,53.0,82.0,E,PlayStation,Everyone,0.38
ROGUE TRIP VACATION 2012,PS,1998,Racing,0.21,0.14,0.0,0.02,,,,PlayStation,Pending,0.37
PHANTASY STAR Ø,DS,2008,Role-Playing,0.16,0.0,0.2,0.01,,,,Nintendo,Pending,0.37
DAWN OF DISCOVERY,PC,2009,Simulation,0.0,0.32,0.0,0.06,82.0,88.0,T,PC,Teens,0.38
DAI-4-JI SUPER ROBOT TAISEN,SNES,1995,Strategy,0.0,0.0,0.38,0.0,,,,Nintendo,Pending,0.38
TALES OF HEARTS,PSV,2013,Role-Playing,0.11,0.11,0.09,0.07,,,,PlayStation,Pending,0.38
GET FIT WITH MEL B,PS3,2010,Sports,0.15,0.16,0.0,0.07,73.0,58.0,E,PlayStation,Everyone,0.38
ICE AGE DAWN OF THE DINOSAURS,DS,2009,Action,0.2,0.15,0.0,0.04,54.0,,E,Nintendo,Everyone,0.38999999999999996
POKEMON CHANNEL,GC,2003,Adventure,0.24,0.06,0.07,0.01,55.0,60.0,E,Nintendo,Everyone,0.38
TAIKO NO TATSUJIN PORTABLE DX,PSP,2011,Misc,0.0,0.0,0.38,0.0,,,,PlayStation,Pending,0.38
ETRIAN ODYSSEY IV LEGENDS OF THE TITANS,3DS,2012,Role-Playing,0.12,0.05,0.2,0.01,,,,Nintendo,Pending,0.38
SESAME STREET ELMO'S A-TO-ZOO ADVENTURE,Wii,2010,Misc,0.35,0.0,0.0,0.02,,,EC,Nintendo,Early Childhood,0.37
IRON MAN 2,PSP,2010,Action,0.18,0.12,0.0,0.07,49.0,,T,PlayStation,Teens,0.37
MOTO RACER WORLD TOUR,PS,2000,Racing,0.21,0.14,0.0,0.02,,,,PlayStation,Pending,0.37
VIRTUA TENNIS 2009,PS3,2009,Sports,0.09,0.22,0.0,0.06,70.0,63.0,E,PlayStation,Everyone,0.37
THE DOG ISLAND,Wii,2007,Adventure,0.34,0.01,0.0,0.03,70.0,81.0,E,Nintendo,Everyone,0.38
NCAA FINAL FOUR 2000,PS,1999,Sports,0.21,0.14,0.0,0.02,,,,PlayStation,Pending,0.37
MADAGASCAR ESCAPE 2 AFRICA,PS2,2008,Action,0.12,0.0,0.0,0.26,56.0,58.0,E,PlayStation,Everyone,0.38
NEED FOR SPEED NITRO,DS,2009,Racing,0.21,0.13,0.0,0.04,70.0,63.0,E10+,Nintendo,Everyone 10y+,0.37999999999999995
NARUTO SHIPPUDEN ULTIMATE NINJA HEROES 3,PSP,2009,Fighting,0.13,0.04,0.19,0.03,61.0,66.0,T,PlayStation,Teens,0.39
TIGER WOODS PGA TOUR 08,PSP,2007,Sports,0.14,0.15,0.0,0.09,72.0,,E,PlayStation,Everyone,0.38
CABELA'S DANGEROUS HUNTS 2009,Wii,2008,Sports,0.35,0.0,0.0,0.03,,45.0,T,Nintendo,Teens,0.38
PETZ RESCUE WILDLIFE VET,DS,2008,Simulation,0.35,0.0,0.0,0.03,,,E,Nintendo,Everyone,0.38
DANCING WITH THE STARS WE DANCE!,Wii,2008,Misc,0.35,0.0,0.0,0.03,,,,Nintendo,Pending,0.38
AGE OF EMPIRES III,PC,2005,Strategy,0.0,0.33,0.0,0.05,81.0,77.0,T,PC,Teens,0.38
MADDEN NFL 11,PSP,2010,Sports,0.35,0.0,0.0,0.03,,,E,PlayStation,Everyone,0.38
GRAVITAR,2600,1982,Action,0.35,0.02,0.0,0.0,,,,Other,Pending,0.37
EYETOY PLAY 2,PS2,2004,Misc,0.18,0.14,0.0,0.05,78.0,70.0,E10+,PlayStation,Everyone 10y+,0.37
MOBILE SUIT GUNDAM EXTREME VS FULL BOOST,PS3,2014,Fighting,0.0,0.0,0.38,0.0,,,,PlayStation,Pending,0.38
DANCE DANCE REVOLUTION ULTRAMIX 3,XB,2005,Simulation,0.28,0.08,0.0,0.01,75.0,86.0,E10+,Xbox,Everyone 10y+,0.37000000000000005
LEGO MARVEL SUPER HEROES,DS,2013,Action,0.22,0.13,0.0,0.03,,48.0,E10+,Nintendo,Everyone 10y+,0.38
WWE SMACKDOWN VS RAW 2011,PS2,2010,Fighting,0.24,0.07,0.0,0.07,,78.0,T,PlayStation,Teens,0.38
PRO EVOLUTION SOCCER 2011 3D,3DS,2011,Sports,0.11,0.13,0.11,0.02,73.0,67.0,E,Nintendo,Everyone,0.37
JUST DANCE 2014,PS3,2013,Misc,0.17,0.14,0.0,0.06,77.0,71.0,E10+,PlayStation,Everyone 10y+,0.37000000000000005
WII SPORTS CLUB,WiiU,2014,Sports,0.17,0.14,0.04,0.03,68.0,70.0,E10+,Nintendo,Everyone 10y+,0.38
HARRY POTTER AND THE PRISONER OF AZKABAN,GC,2004,Action,0.29,0.08,0.0,0.01,67.0,73.0,E,Nintendo,Everyone,0.38
PAWS & CLAWS PAMPERED PETS,DS,2009,Simulation,0.35,0.0,0.0,0.03,,,,Nintendo,Pending,0.38
PUPPY PALACE,DS,2008,Simulation,0.35,0.0,0.0,0.03,,,E,Nintendo,Everyone,0.38
PEPPA PIG THE GAME,Wii,2009,Misc,0.0,0.34,0.0,0.03,,,,Nintendo,Pending,0.37
SKYLANDERS GIANTS,WiiU,2012,Action,0.22,0.12,0.0,0.03,80.0,69.0,E10+,Nintendo,Everyone 10y+,0.37
GRID 2,PS3,2013,Racing,0.07,0.22,0.01,0.08,82.0,66.0,E,PlayStation,Everyone,0.38000000000000006
SOLARIS,2600,1986,Shooter,0.35,0.02,0.0,0.0,,,,Other,Pending,0.37
RESIDENT EVIL ZERO,PS4,2016,Action,0.1,0.17,0.05,0.05,,,,PlayStation,Pending,0.37
SUPER DRAGON BALL Z,PS2,2006,Fighting,0.09,0.07,0.19,0.02,72.0,58.0,T,PlayStation,Teens,0.37
SCOOBY-DOO! AND THE SPOOKY SWAMP,DS,2010,Action,0.25,0.09,0.0,0.03,,,,Nintendo,Pending,0.37
PETZ RESCUE OCEAN PATROL,DS,2008,Adventure,0.35,0.0,0.0,0.03,,,E,Nintendo,Everyone,0.38
TOBAL 2,PS,1997,Fighting,0.0,0.0,0.35,0.02,,,,PlayStation,Pending,0.37
FARMING SIMULATOR 2015,PS3,2015,Simulation,0.11,0.2,0.0,0.06,,,,PlayStation,Pending,0.37
NBA 2K10,Wii,2009,Sports,0.34,0.0,0.0,0.03,,86.0,E,Nintendo,Everyone,0.37
PERSONA 5,PS4,2016,Role-Playing,0.0,0.0,0.37,0.0,,,,PlayStation,Pending,0.37
DISNEY SING IT,PS3,2008,Misc,0.28,0.06,0.0,0.04,54.0,35.0,E,PlayStation,Everyone,0.38
TIGER WOODS PGA TOUR 09,PS2,2008,Sports,0.16,0.0,0.0,0.21,,43.0,E,PlayStation,Everyone,0.37
ULTIMATE SPIDER-MAN,GC,2005,Action,0.29,0.07,0.0,0.01,76.0,72.0,T,Nintendo,Teens,0.37
NBA INSIDE DRIVE 2002,XB,2002,Sports,0.28,0.08,0.0,0.01,76.0,,E,Xbox,Everyone,0.37000000000000005
MAJOR LEAGUE BASEBALL 2K6,X360,2006,Sports,0.34,0.0,0.0,0.03,66.0,39.0,E,Xbox,Everyone,0.37
IMAGINE PARTY BABYZ,Wii,2008,Simulation,0.33,0.02,0.0,0.03,,61.0,E,Nintendo,Everyone,0.38
LEGO STAR WARS III THE CLONE WARS,PSP,2011,Action,0.14,0.15,0.0,0.08,63.0,,E10+,PlayStation,Everyone 10y+,0.37000000000000005
NBA 2K7,PS3,2006,Sports,0.3,0.04,0.0,0.03,80.0,74.0,E,PlayStation,Everyone,0.37
KILEAK THE DNA IMPERATIVE,PS,1994,Shooter,0.08,0.06,0.21,0.02,,,,PlayStation,Pending,0.37
PETZ CATZ 2,PS2,2006,Simulation,0.18,0.14,0.0,0.05,,,E,PlayStation,Everyone,0.37
JUST DANCE 4,WiiU,2012,Misc,0.21,0.13,0.0,0.03,66.0,78.0,E10+,Nintendo,Everyone 10y+,0.37
PHANTASY STAR PORTABLE 2 INFINITY,PSP,2011,Role-Playing,0.0,0.0,0.37,0.0,,,,PlayStation,Pending,0.37
MONSTERS INC SCREAM ARENA,GC,2002,Platform,0.29,0.07,0.0,0.01,39.0,47.0,E,Nintendo,Everyone,0.37
REEL FISHING III,PS2,2003,Sports,0.18,0.14,0.0,0.05,,78.0,E,PlayStation,Everyone,0.37
CABELA'S DEER HUNT 2005 SEASON,PS2,2004,Sports,0.18,0.14,0.0,0.05,,87.0,T,PlayStation,Teens,0.37
MONSTER JAM PATH OF DESTRUCTION,DS,2010,Racing,0.34,0.0,0.0,0.03,,,E,Nintendo,Everyone,0.37
NEED FOR SPEED HOT PURSUIT,PC,2010,Racing,0.12,0.2,0.0,0.05,86.0,67.0,E10+,PC,Everyone 10y+,0.37
RAMPAGE TOTAL DESTRUCTION,PS2,2006,Action,0.18,0.14,0.0,0.05,51.0,70.0,E10+,PlayStation,Everyone 10y+,0.37
HIGH HEAT MAJOR LEAGUE BASEBALL 2003,PS2,2002,Sports,0.18,0.14,0.0,0.05,84.0,79.0,E,PlayStation,Everyone,0.37
TRIVIAL PURSUIT,X360,2009,Misc,0.12,0.21,0.0,0.04,66.0,64.0,E,Xbox,Everyone,0.36999999999999994
SUPER FORMATION SOCCER 94,SNES,1994,Sports,0.0,0.0,0.37,0.0,,,,Nintendo,Pending,0.37
KINGDOM UNDER FIRE CIRCLE OF DOOM,X360,2007,Role-Playing,0.18,0.12,0.04,0.03,55.0,59.0,M,Xbox,Mature,0.37
PANZER DRAGOON,SAT,1995,Shooter,0.0,0.0,0.37,0.0,,,,Other,Pending,0.37
SPIDER-MAN FRIEND OR FOE,PS2,2007,Action,0.31,0.01,0.0,0.05,62.0,83.0,E10+,PlayStation,Everyone 10y+,0.37
YARUDORA SERIES VOL1 DOUBLE CAST,PS,1998,Adventure,0.0,0.0,0.35,0.02,,,,PlayStation,Pending,0.37
REC ROOM GAMES,Wii,2009,Sports,0.35,0.0,0.0,0.03,,,E,Nintendo,Everyone,0.38
EA SPORTS MMA,PS3,2010,Fighting,0.16,0.14,0.01,0.06,77.0,69.0,T,PlayStation,Teens,0.37000000000000005
GUITAR HERO ON TOUR MODERN HITS,DS,2009,Misc,0.13,0.2,0.0,0.04,70.0,63.0,E10+,Nintendo,Everyone 10y+,0.37
QUAKE 4,X360,2005,Shooter,0.32,0.02,0.0,0.03,75.0,67.0,M,Xbox,Mature,0.37
TIGER WOODS PGA TOUR 14,PS3,2013,Sports,0.16,0.14,0.0,0.07,74.0,38.0,E,PlayStation,Everyone,0.37000000000000005
SKATE,PS3,2007,Sports,0.29,0.04,0.0,0.03,85.0,82.0,T,PlayStation,Teens,0.36
CABELA'S BIG GAME HUNTER 2012,Wii,2011,Sports,0.33,0.02,0.0,0.02,,,T,Nintendo,Teens,0.37000000000000005
FUSHIGI NO DUNGEON FURAI NO SHIREN 2 - ONI SHUURAI! SHIREN SHIRO!,N64,2000,Role-Playing,0.0,0.0,0.32,0.05,,,,Nintendo,Pending,0.37
TUROK RAGE WARS,N64,1999,Shooter,0.3,0.06,0.0,0.0,,,,Nintendo,Pending,0.36
SCOOBY-DOO! CLASSIC CREEP CAPERS,N64,2000,Action,0.3,0.06,0.0,0.0,,,,Nintendo,Pending,0.36
RAGE,PC,2011,Shooter,0.14,0.18,0.0,0.06,79.0,52.0,M,PC,Mature,0.38
DRAGONFIRE,2600,1981,Action,0.35,0.02,0.0,0.0,,,,Other,Pending,0.37
CUSTOM ROBO,GC,2004,Role-Playing,0.29,0.07,0.0,0.01,65.0,81.0,T,Nintendo,Teens,0.37
PRINCE OF PERSIA THE FORGOTTEN SANDS,PSP,2010,Action,0.09,0.18,0.01,0.1,65.0,74.0,T,PlayStation,Teens,0.38
BIOSHOCK THE COLLECTION,PS4,2016,Shooter,0.1,0.19,0.02,0.06,84.0,85.0,M,PlayStation,Mature,0.37000000000000005
THEATRHYTHM FINAL FANTASY CURTAIN CALL,3DS,2014,Misc,0.13,0.08,0.15,0.02,83.0,82.0,T,Nintendo,Teens,0.38
DIRT 2,Wii,2009,Racing,0.1,0.22,0.0,0.04,51.0,55.0,E10+,Nintendo,Everyone 10y+,0.36
PAC-MAN WORLD 2,GC,2002,Action,0.28,0.07,0.0,0.01,74.0,83.0,E,Nintendo,Everyone,0.36000000000000004
KOTOBA NO PUZZLE MOJIPITTAN DS,DS,2007,Puzzle,0.0,0.0,0.37,0.0,,,,Nintendo,Pending,0.37
TOMB RAIDER LEGEND,X360,2006,Action,0.27,0.07,0.01,0.03,80.0,73.0,T,Xbox,Teens,0.38
ROCKET LEAGUE,PS4,2016,Sports,0.03,0.28,0.0,0.05,85.0,87.0,E,PlayStation,Everyone,0.36000000000000004
THE BIGS,Wii,2007,Sports,0.34,0.0,0.0,0.03,66.0,71.0,E,Nintendo,Everyone,0.37
BARBIE HORSE ADVENTURES BLUE RIBBON RACE,GBA,2003,Sports,0.26,0.1,0.0,0.01,,,,Nintendo,Pending,0.37
DESTINY THE TAKEN KING,PS3,2015,Shooter,0.17,0.11,0.02,0.06,,55.0,T,PlayStation,Teens,0.36000000000000004
SKYLANDERS SUPERCHARGERS,PS3,2015,Action,0.16,0.15,0.0,0.06,,42.0,E10+,PlayStation,Everyone 10y+,0.37
THE LEGEND OF SPYRO A NEW BEGINNING,DS,2006,Platform,0.33,0.01,0.0,0.03,68.0,68.0,E,Nintendo,Everyone,0.37
IMAGINE SALON STYLIST,DS,2009,Simulation,0.23,0.1,0.0,0.03,,,E,Nintendo,Everyone,0.36
JUICED 2 HOT IMPORT NIGHTS,PSP,2007,Racing,0.06,0.2,0.0,0.11,73.0,78.0,T,PlayStation,Teens,0.37
SLIME MORIMORI DRAGON QUEST SHOUGEKI NO SHIPPO DAN,GBA,2003,Adventure,0.0,0.0,0.36,0.01,,,,Nintendo,Pending,0.37
DUNGEON SIEGE III,X360,2011,Role-Playing,0.21,0.12,0.01,0.03,72.0,59.0,T,Xbox,Teens,0.37
HELL'S KITCHEN THE GAME,DS,2008,Simulation,0.34,0.0,0.0,0.03,,,,Nintendo,Pending,0.37
